EC-Number	Pfam-Domain	Confidence-Score	Type	In-InterPro
3.1.22.4	PF02075	0.9105186667	GOLD	Yes
3.1.22.4	PF05866	0.2265612222	GOLD	Yes
3.1.22.4	PF01870	0.194543	GOLD	Yes
3.1.22.1	PF03265	0.60699	GOLD	No
4.2.1.152	PF00305	0.1202811111	GOLD	No
4.2.1.152	PF01477	0.0952772222	GOLD	No
3.9.1.2	PF01451	0.1081072222	GOLD	No
3.4.22.63	PF01335	0.2777777778	GOLD	No
3.4.22.63	PF00656	0.0837533333	SILVER	No
3.4.11.22	PF02127	0.1855307222	SILVER	No
5.1.1.20	PF01188	0.0710666667	GOLD	No
5.1.1.20	PF02746	0.1236094444	GOLD	No
4.6.1.14	PF00388	0.1056081667	GOLD	No
4.6.1.14	PF03490	0.5932981111	GOLD	No
4.6.1.15	PF02733	0.3488859	GOLD	No
4.6.1.15	PF02734	0.3496179056	GOLD	No
4.6.1.16	PF01974	0.9751396667	GOLD	Yes
4.6.1.16	PF02778	0.9127642778	GOLD	Yes
3.4.11.23	PF00883	0.5293828333	GOLD	No
3.4.11.23	PF12404	0.9418778889	GOLD	Yes
4.6.1.12	PF01128	0.1243379444	SILVER	No
4.6.1.12	PF02542	0.9979717778	GOLD	Yes
4.6.1.13	PF00388	0.2271169444	GOLD	No
3.2.1.49	PF01408	0.0891003611	SILVER	No
3.2.1.49	PF02065	0.1400356167	GOLD	No
4.2.3.82	PF01397	0.0685577778	GOLD	No
4.2.3.82	PF03936	0.0635872222	GOLD	No
2.5.1.43	PF03059	0.6097043889	GOLD	Yes
1.5.3.7	PF01266	0.0745244111	GOLD	No
1.1.5.2	PF07995	0.6356275556	GOLD	No
1.1.5.3	PF13499	0.0730701678	SILVER	No
1.1.5.3	PF01266	0.3948361111	GOLD	No
1.1.5.3	PF00890	0.2838037222	GOLD	No
1.1.5.3	PF04324	0.1690465556	GOLD	No
4.2.3.118	PF03936	0.0986656167	SILVER	No
4.2.3.119	PF01397	0.0885072222	GOLD	No
4.2.3.119	PF03936	0.0820911111	GOLD	No
1.1.5.6	PF00384	0.0509747889	SILVER	No
1.1.5.6	PF04879	0.0644276111	SILVER	No
1.1.5.6	PF01568	0.0551273056	SILVER	No
4.2.3.114	PF01397	0.0719201111	GOLD	No
4.2.3.114	PF03936	0.0642536667	GOLD	No
1.1.5.9	PF00732	0.0741503611	GOLD	No
1.1.5.9	PF05199	0.0726589556	GOLD	No
4.2.3.116	PF01397	0.0682704444	SILVER	No
4.2.3.116	PF03936	0.057345	SILVER	No
4.2.3.117	PF01397	0.0559772222	GOLD	No
4.2.3.117	PF03936	0.0519188333	GOLD	No
4.2.3.110	PF01397	0.0559772222	GOLD	No
4.2.3.110	PF03936	0.0519188333	GOLD	No
4.2.3.111	PF01397	0.0745836111	SILVER	No
4.2.3.111	PF03936	0.0682493389	SILVER	No
4.2.3.112	PF01397	0.0559772222	GOLD	No
4.2.3.112	PF03936	0.0519188333	GOLD	No
4.2.3.113	PF01397	0.0559772222	GOLD	No
4.2.3.113	PF03936	0.0519188333	GOLD	No
1.13.11.49	PF06778	0.6278089444	GOLD	No
1.13.11.48	PF12697	0.0443712778	SILVER	No
1.13.11.40	PF00305	0.0991916667	SILVER	No
1.13.11.40	PF01477	0.0854765722	SILVER	No
1.13.11.40	PF00199	0.0537575167	SILVER	No
1.13.11.43	PF03055	0.149344	GOLD	No
1.13.11.45	PF00305	0.0694444444	SILVER	No
3.2.2.19	PF03747	0.370416	SILVER	No
1.13.11.46	PF14696	0.0496903889	GOLD	No
1.13.11.46	PF00903	0.0786319667	SILVER	No
4.2.3.15	PF01397	0.1119538889	GOLD	No
4.2.3.15	PF03936	0.1084998944	SILVER	No
1.17.4.1	PF08343	0.2828762222	GOLD	Yes
1.17.4.1	PF00268	0.6458907778	GOLD	Yes
1.17.4.1	PF08471	0.1576866667	GOLD	Yes
1.17.4.1	PF14528	0.0537580056	SILVER	No
1.17.4.1	PF09061	0.0498537111	SILVER	No
1.17.4.1	PF02867	0.7229415	GOLD	Yes
1.17.4.1	PF00317	0.7057473333	GOLD	Yes
1.17.4.1	PF12637	0.1859574111	GOLD	Yes
1.17.4.1	PF09062	0.0498537111	SILVER	No
1.17.4.1	PF03477	0.4975720778	GOLD	No
3.1.4.45	PF09992	0.5842443333	GOLD	No
3.1.4.46	PF03009	0.56426	GOLD	No
3.1.4.46	PF03105	0.1647016833	SILVER	No
1.17.4.2	PF13597	0.0539902778	GOLD	No
1.17.4.2	PF02867	0.1832766889	SILVER	No
1.17.4.2	PF03477	0.1189350556	GOLD	No
1.17.4.4	PF07884	0.5709638889	GOLD	No
3.1.4.43	PF03009	0.10143	SILVER	No
2.1.1.291	PF00891	0.062505	SILVER	No
2.1.1.291	PF08100	0.0742394444	SILVER	No
4.2.3.12	PF01242	0.7366772778	GOLD	No
1.1.1.127	PF00106	0.0518226833	SILVER	No
1.1.1.120	PF08240	0.0405171111	SILVER	No
3.4.24.15	PF01432	0.2089507222	GOLD	No
1.1.1.122	PF00248	0.0609004444	SILVER	No
3.4.24.37	PF01432	0.0754594	SILVER	No
4.2.1.151	PF02621	0.9281726111	GOLD	No
2.7.1.138	PF00781	0.1609761111	GOLD	No
4.2.1.54	PF06050	0.4026581667	GOLD	No
6.2.1.7	PF13193	0.0543589889	GOLD	No
6.2.1.7	PF00501	0.0481134444	GOLD	No
2.3.1.232	PF02458	0.0997805556	SILVER	No
1.8.7.2	PF02943	0.9396039444	GOLD	Yes
1.8.7.1	PF01077	0.1589110556	GOLD	No
4.2.3.13	PF01397	0.1353370556	GOLD	No
4.2.3.13	PF03936	0.1164852278	SILVER	No
3.6.4.3	PF08513	0.2414573333	GOLD	No
3.6.4.3	PF09336	0.516733	GOLD	No
3.6.4.3	PF00004	0.3894468389	SILVER	No
3.6.4.3	PF04212	0.4048289444	GOLD	No
2.4.1.82	PF05691	0.5200831111	GOLD	No
1.8.2.4	PF00384	0.0436300167	SILVER	No
1.8.2.4	PF01568	0.0476712944	SILVER	No
3.4.21.106	PF09272	0.6564720556	GOLD	Yes
3.4.21.106	PF00089	0.0648651056	SILVER	No
1.1.3.44	PF00732	0.0507150556	SILVER	No
1.1.3.44	PF05199	0.0496903889	SILVER	No
3.5.3.1	PF00491	0.6094407778	GOLD	No
2.1.1.293	PF00891	0.1082616667	GOLD	No
6.3.1.8	PF05257	0.3408124444	GOLD	No
6.3.1.8	PF03738	0.4847958333	GOLD	No
4.2.1.109	PF00596	0.7407663889	GOLD	No
3.1.3.90	PF03372	0.0467071778	SILVER	No
2.7.7.19	PF12626	0.4649768333	GOLD	Yes
2.7.7.19	PF12629	0.3889125	GOLD	Yes
2.7.7.19	PF01743	0.3090328222	SILVER	No
2.7.7.19	PF04928	0.3477015	GOLD	Yes
2.7.7.19	PF04926	0.3317275556	GOLD	Yes
