reaction_id,mass_transition_round,mass_transition,substrate_id,substrate_mnx_id,substrate_mm,product_id,product_mnx_id,product_mm
293,18.01,18.010564684000002,4685,MNXM821,58.041864812,16167,MNXM90191,76.052429496
16150,2.02,2.015650063999999,3773,MNXM1526,74.036779432,24961,MNXM2861,76.052429496
13239,2.02,2.015650063999999,17903,MNXM911,127.063328528,13475,MNXM684,129.078978592
32196,2.02,2.015650063999999,17903,MNXM911,127.063328528,13475,MNXM684,129.078978592
3374,-17.0,-17.003288231910005,20230,MNXM2182,321.03729813382,27448,MNXM3148,304.03400990191
39858,436.28,436.2822511460899,518,MNXM108,255.23295381191002,11905,MNXM32178,691.5152049579999
39858,238.23,238.22966558000002,14177,MNXM34810,453.2855393779999,11905,MNXM32178,691.5152049579999
13262,2.02,2.015650063999999,16459,MNXM582,193.03537620791,7799,MNXM341,195.05102627191
41188,2.02,2.015650063999999,16459,MNXM582,193.03537620791,7799,MNXM341,195.05102627191
34951,-77.95,-77.95177761782,1421,MNXM1218,270.98715382573,16459,MNXM582,193.03537620791
28314,-16.03,-16.030202968179992,21053,MNXM162721,240.063388104,19162,MNXM799,224.03318513582002
28314,137.02,137.02441759991,26357,MNXM23,87.00876753591001,19162,MNXM799,224.03318513582002
28314,-96.06,-96.05641771618,21053,MNXM162721,240.063388104,27248,MNXM20,144.00697038782002
28314,57.0,56.99820285191001,26357,MNXM23,87.00876753591001,27248,MNXM20,144.00697038782002
13943,14.99,14.987638167910006,19740,MNXM1401,152.047344116,21038,MNXM645,167.03498228391
22693,2.02,2.015650063999999,2658,MNXM1633,168.042258736,934,MNXM2931,170.0579088
26672,14.99,14.987638167910006,19740,MNXM1401,152.047344116,21038,MNXM645,167.03498228391
2538,12.0,11.999999999999972,23531,MNXM345,167.03498228391,19953,MNXM153,179.03498228390998
32893,-42.98,-42.98255278791001,27248,MNXM20,144.00697038782002,21551,MNXM305,101.02441759991001
5285,-0.98,-0.9840155880000054,10104,MNXM244,87.00876753591001,14272,MNXM162288,86.02475194791
38331,14.02,14.01565006400017,26803,MNXM2783,561.3949337559098,13010,MNXM3166,575.41058381991
9775,15.99,15.994914620000003,10435,MNXM1639,151.04006766391,21038,MNXM645,167.03498228391
4028,42.98,42.98255278790998,13252,MNXM4291,532.428031032,13010,MNXM3166,575.41058381991
38786,2.02,2.015650063999999,10104,MNXM244,87.00876753591001,6929,MNXM872,89.02441759991001
32415,15.99,15.994914620000003,22164,MNXM1634,165.05571772791,6307,MNXM826,181.05063234791
