Acc,Name,Desc
PF00001.20,7tm_1,7 transmembrane receptor (rhodopsin family)
PF00002.23,7tm_2,7 transmembrane receptor (Secretin family)
PF00003.21,7tm_3,7 transmembrane sweet-taste receptor of 3 GCPR
PF00004.28,AAA,ATPase family associated with various cellular activities (AAA)
PF00005.26,ABC_tran,ABC transporter
PF00006.24,ATP-synt_ab,"ATP synthase alpha/beta family, nucleotide-binding domain"
PF00007.21,Cys_knot,Cystine-knot domain
PF00008.26,EGF,EGF-like domain
PF00009.26,GTP_EFTU,Elongation factor Tu GTP binding domain
PF00010.25,HLH,Helix-loop-helix DNA-binding domain
PF00011.20,HSP20,Hsp20/alpha crystallin family
PF00012.19,HSP70,Hsp70 protein
PF00013.28,KH_1,KH domain
PF00014.22,Kunitz_BPTI,Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015.20,MCPsignal,Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016.19,RuBisCO_large,"Ribulose bisphosphate carboxylase large chain, catalytic domain"
PF00017.23,SH2,SH2 domain
PF00018.27,SH3_1,SH3 domain
PF00019.19,TGF_beta,Transforming growth factor beta like domain
PF00020.17,TNFR_c6,TNFR/NGFR cysteine-rich region
PF00021.20,UPAR_LY6,u-PAR/Ly-6 domain
PF00022.18,Actin,Actin
PF00023.29,Ank,Ankyrin repeat
PF00024.25,PAN_1,PAN domain
PF00025.20,Arf,ADP-ribosylation factor family
PF00026.22,Asp,Eukaryotic aspartyl protease
PF00027.28,cNMP_binding,Cyclic nucleotide-binding domain
PF00028.16,Cadherin,Cadherin domain
PF00029.18,Connexin,Connexin
PF00030.18,Crystall,Beta/Gamma crystallin
PF00031.20,Cystatin,Cystatin domain
PF00032.16,Cytochrom_B_C,Cytochrome b(C-terminal)/b6/petD
PF00033.18,Cytochrome_B,Cytochrome b/b6/petB
PF00034.20,Cytochrom_C,Cytochrome c
PF00035.25,dsrm,Double-stranded RNA binding motif
PF00036.31,EF-hand_1,EF hand
PF00037.26,Fer4,4Fe-4S binding domain
PF00038.20,Filament,Intermediate filament protein
PF00039.17,fn1,Fibronectin type I domain
PF00040.18,fn2,Fibronectin type II domain
PF00041.20,fn3,Fibronectin type III domain
PF00042.21,Globin,Globin
PF00043.24,GST_C,"Glutathione S-transferase, C-terminal domain"
PF00044.23,Gp_dh_N,"Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain"
PF00045.18,Hemopexin,Hemopexin
PF00046.28,Homeobox,Homeobox domain
PF00047.24,ig,Immunoglobulin domain
PF00048.19,IL8,"Small cytokines (intecrine/chemokine), interleukin-8 like"
PF00049.17,Insulin,Insulin/IGF/Relaxin family
PF00050.20,Kazal_1,Kazal-type serine protease inhibitor domain
PF00051.17,Kringle,Kringle domain
