mass_transition,n_reactions
18.01,140
2.02,698
-17.0,52
436.28,3
238.23,14
-77.95,148
-16.03,4
137.02,10
-96.06,1
57.0,5
14.99,99
12.0,6
-42.98,12
-0.98,30
14.02,340
15.99,327
42.98,100
19.04,1
-86.07,2
-15.99,367
1.03,11
2.04,103
42.01,31
746.08,16
-14.99,146
-18.01,108
77.95,79
-31.99,42
-209.99,4
20.05,5
446.94,1
238.09,2
280.9,1
26.99,21
209.99,5
240.0,3
-232.97,1
0.98,4
17.99,2
101.05,6
144.06,1
0.0,190
137.06,3
85.05,4
41.0,28
-2.04,70
-44.03,19
-42.01,88
44.03,4
-0.02,14
15.02,53
-78.96,32
87.1,7
71.09,1
57.07,2
78.96,63
115.09,2
88.04,10
-2.02,531
-88.02,2
-77.99,2
174.92,27
-39.87,1
35.98,12
0.02,35
93.95,1
72.1,1
42.02,10
-337.0,1
-14.02,37
113.08,12
235.87,3
-56.03,3
-158.0,2
-1.01,58
115.01,1
59.03,1
103.01,5
-329.05,22
10.03,3
87.99,2
-87.99,1
-137.02,2
408.01,2
58.07,12
-60.02,9
-58.07,6
-185.08,1
-93.95,1
35.06,2
407.0,30
-407.0,18
151.07,3
27.99,162
29.96,7
42.0,9
787.09,2
87.03,15
135.06,1
16.02,4
94.98,2
71.12,1
7.1,2
-77.98,3
77.98,1
-95.96,3
87.01,9
-76.94,1
912.19,1
153.02,1
17.0,46
34.01,34
121.04,2
25.06,1
118.97,1
-118.97,1
-102.97,1
21.06,2
322.01,1
157.92,9
23.96,1
-87.01,10
-120.04,2
72.99,3
167.98,4
-62.96,2
45.0,29
3.02,38
-3.02,35
16.88,1
-499.5,1
14.87,2
-501.52,2
233.3,1
203.03,1
90.03,2
-571.55,1
425.42,1
435.42,1
-561.54,1
41.01,1
84.06,1
-41.0,19
1.07,4
-68.06,25
-91.05,3
-662.1,2
13.01,14
116.05,9
-125.0,1
-30.01,8
186.07,1
18.03,12
-28.03,13
-43.05,2
-618.11,1
1.01,41
-746.08,52
-602.56,2
588.54,1
466.43,1
-612.56,3
118.03,1
-189.08,1
-480.51,1
-558.58,1
-548.57,1
534.55,1
-29.98,14
-95.07,2
29.03,1
-31.04,1
-161.07,1
-128.04,15
-79.97,19
-164.07,2
103.0,2
-653.57,1
643.56,1
629.54,1
-113.08,3
57.02,11
71.04,11
153.0,1
-163.06,50
-544.5,1
37.9,1
-235.31,2
-621.14,1
29.0,10
72.08,3
-99.01,2
116.01,2
-337.03,2
-131.04,2
-71.04,6
-57.02,4
-128.06,1
103.08,2
28.03,17
198.05,3
228.04,2
-345.05,2
-31.97,3
321.04,1
95.96,2
-30.98,26
86.07,3
-46.98,1
92.97,1
-760.31,2
760.31,2
-113.05,2
329.05,4
540.05,2
3.05,7
63.09,1
-211.0,2
-103.02,3
211.0,5
159.12,3
31.01,2
328.05,3
250.09,2
-157.03,1
-14.95,3
-476.44,4
-12.95,1
46.0,2
7.96,1
-43.01,2
-69.0,3
594.52,1
-422.02,1
-379.04,1
-35.02,1
-34.02,2
-117.03,3
-34.97,8
-36.98,3
-641.57,1
-50.96,3
156.91,11
-94.03,1
-250.09,3
-152.28,1
450.28,1
33.0,5
-27.99,35
155.03,2
69.0,7
-55.93,1
98.94,2
17.01,2
-1.04,2
-3.99,1
-34.99,2
2.98,3
87.97,1
-9.01,2
-40.0,3
10.99,2
196.94,1
-195.93,1
99.07,8
74.12,1
173.19,1
132.18,1
-373.27,1
135.07,2
25.01,1
-26.02,3
-149.08,1
-133.03,1
-135.07,1
-15.02,10
-84.06,3
-70.04,5
43.99,22
313.0,1
-311.99,1
-423.0,2
-383.98,1
162.05,60
199.1,1
-199.1,1
-21.03,1
-139.04,1
102.05,7
-4.0,1
83.03,1
117.04,3
-104.02,1
20.03,11
-5.02,1
-21.01,1
476.44,1
-57.0,6
-18.03,2
-555.56,1
-117.02,2
-75.03,6
7.01,1
141.0,1
-122.07,1
255.11,1
-108.06,1
-73.02,1
-17.02,1
86.02,1
43.01,17
28.07,1
71.05,2
-105.05,2
-383.07,1
95.99,1
-106.04,2
-58.04,4
152.01,5
150.03,1
-618.01,1
-485.96,1
79.97,10
81.98,3
-407.99,1
61.04,1
70.01,3
70.98,2
34.97,3
-129.99,2
71.01,8
59.04,1
73.05,1
131.12,1
-129.1,5
761.07,5
-101.02,1
-72.99,4
114.02,3
289.07,1
96.98,1
-79.96,8
-74.02,1
94.07,1
-157.11,2
-162.05,94
157.11,7
-72.02,3
-16.98,7
-84.99,7
-283.97,1
-72.1,1
-87.05,1
79.96,6
-34.01,24
-17.97,11
104.03,5
26.02,3
59.01,5
114.0,4
15.05,1
1.97,1
114.13,2
80.97,4
103.02,2
-137.97,1
3.0,1
101.0,1
-19.03,1
16.05,5
14.04,3
-70.98,1
-145.03,5
-50.14,1
-90.03,3
46.96,3
126.02,4
84.01,1
-84.0,2
30.01,11
109.02,1
331.04,2
80.05,1
-37.07,1
-105.02,6
-58.03,3
223.06,1
133.05,7
-78.95,11
-72.08,5
-60.1,3
161.02,1
-673.98,1
-42.02,4
-156.91,3
-174.92,15
188.05,1
805.1,3
-74.04,3
60.99,4
30.03,1
206.06,4
626.0,3
-175.04,2
-154.95,1
-146.04,5
-33.0,7
-104.03,5
30.98,11
83.99,1
112.06,1
96.03,1
31.98,1
-16.0,4
681.04,4
-28.05,1
-26.99,3
133.03,2
100.0,1
156.07,1
77.94,2
72.02,2
75.04,4
165.06,3
78.95,7
-306.03,1
-13.98,35
-105.01,1
-75.05,1
-27.01,1
231.04,1
-857.14,1
-88.04,7
-2.0,2
148.05,2
109.03,1
-305.04,9
120.02,4
-28.97,9
60.0,1
-103.08,4
-355.08,1
-268.05,1
-172.05,3
52.01,2
-53.01,2
-8.02,1
-2.99,1
75.03,4
130.12,1
-1.97,1
-241.01,1
115.03,2
-311.97,4
-12.97,11
125.12,1
175.04,2
175.02,9
91.05,4
288.16,1
-384.34,1
101.08,1
25.98,2
69.07,4
70.04,7
-15.01,1
-188.2,1
-136.13,3
-199.17,1
318.26,3
-206.06,1
645.09,1
18.97,3
-132.0,1
157.05,1
-170.13,1
-21.96,1
831.14,1
-4.03,20
261.13,2
417.23,1
-151.98,1
159.04,1
127.06,1
260.14,1
113.13,1
659.03,1
-146.06,7
-56.9,1
1.04,1
-19.02,11
-274.81,1
158.06,2
19.02,20
-150.07,1
-182.09,1
373.27,1
-25.98,3
43.05,2
173.01,2
-399.44,1
-338.05,3
-200.34,1
-138.95,4
-324.03,1
-203.08,9
298.14,2
36.02,5
638.06,2
95.97,2
-134.04,1
64.97,3
-198.05,5
-25.02,1
245.06,2
202.08,1
4.03,31
13.98,22
420.22,1
-3.05,3
-78.03,1
-40.09,1
140.11,1
83.07,2
-240.0,1
41.98,10
282.11,1
296.13,1
242.1,2
44.01,1
27.98,1
33.96,9
-33.96,8
-134.02,1
-169.99,1
17.97,11
184.08,1
96.02,2
28.99,4
61.05,1
43.02,3
-105.08,1
36.98,3
-2.01,4
32.95,2
-15.03,1
-179.93,1
102.95,1
145.97,3
-17.96,4
153.01,1
121.02,3
-16.96,2
86.08,1
84.07,1
31.99,15
91.04,1
16.98,1
58.01,7
70.0,1
113.02,2
16.0,2
-32.95,2
-159.12,8
69.94,1
137.04,1
122.02,3
-129.02,2
-104.0,1
-15.0,1
35.97,1
454.22,1
136.08,2
370.13,2
-140.97,2
-805.1,1
35.02,1
79.02,1
-23.05,1
23.05,1
30.07,1
298.18,1
400.01,1
127.04,1
175.12,1
5.74,1
-4.73,1
-174.11,1
-198.35,1
147.07,3
-144.08,1
345.42,1
15.79,1
133.08,8
-130.06,7
-12.77,1
-131.31,1
46.78,1
-203.34,2
-147.1,16
144.08,9
200.32,2
-347.42,2
214.34,1
-217.36,1
-361.44,1
182.31,2
-185.33,2
-329.41,2
-199.35,1
196.33,1
-343.43,1
-189.33,1
186.31,1
-333.41,1
168.3,1
-171.32,1
-315.4,1
160.13,1
174.07,2
5.04,5
765.1,1
9.99,1
-750.11,2
-59.01,5
-50.12,1
117.09,4
-114.07,3
53.15,1
167.21,1
-164.19,1
-244.13,1
-196.18,1
-180.19,1
-358.2,1
105.16,1
-346.27,1
-330.28,2
87.15,1
-84.13,1
201.22,1
-198.2,1
315.29,1
-11.96,1
-130.09,1
29.11,1
-28.1,1
131.09,1
-50.0,2
-12.07,1
15.09,1
-142.14,1
145.16,1
147.1,1
275.22,1
-4.11,1
348.18,1
-4.87,1
-160.07,2
16.08,1
210.0,1
188.08,2
355.09,1
-79.04,1
-38.08,1
146.06,9
-175.02,3
77.99,1
101.02,1
-233.3,1
-77.91,4
-6.05,1
142.08,1
35.01,1
149.02,1
111.01,1
-176.03,7
12.97,8
63.93,2
-62.94,1
-48.93,2
-20.89,1
17.04,1
77.13,1
-17.99,2
655.06,1
-97.15,2
130.17,5
104.09,1
156.93,1
62.95,1
9.07,1
254.04,2
112.02,2
-162.03,1
590.04,1
-80.97,2
94.03,1
100.08,3
82.98,1
80.99,1
-515.12,1
-160.06,1
-64.97,2
54.01,1
155.05,1
131.01,1
-86.0,2
248.83,1
275.84,1
-98.04,1
-86.04,1
151.99,1
-118.04,2
138.1,1
-163.04,2
329.97,1
297.98,1
-147.04,2
151.93,1
135.93,1
120.98,1
-13.01,2
9.98,2
112.03,1
126.04,1
127.1,1
39.99,1
637.05,13
29.97,5
193.01,2
-29.97,15
-328.05,5
-249.09,1
140.06,1
156.06,1
-915.17,1
46.01,15
-749.1,2
-148.08,2
48.02,2
114.07,2
271.06,1
34.06,1
132.04,4
-212.01,1
16.03,5
161.95,2
56.04,1
105.02,5
14.03,1
-70.01,1
-120.06,2
-128.01,2
-121.06,2
374.13,2
486.23,1
68.06,5
56.03,4
219.99,2
-289.07,4
61.02,1
-285.04,1
-286.05,2
-51.02,1
51.02,1
136.13,9
74.04,1
291.1,1
24.01,2
-11.0,1
-33.99,1
15.95,1
167.06,1
183.06,2
165.05,1
-275.27,1
